Country,Country Code,Year,Series Name,Series Code,Value
Afghanistan,AFG,2000,Access to electricity (% of population),EG.ELC.ACCS.ZS,0.959755897521973
Afghanistan,AFG,2001,Access to electricity (% of population),EG.ELC.ACCS.ZS,0.77653694152832
Afghanistan,AFG,2002,Access to electricity (% of population),EG.ELC.ACCS.ZS,6.26739358901977
Afghanistan,AFG,2003,Access to electricity (% of population),EG.ELC.ACCS.ZS,11.7519664764404
Afghanistan,AFG,2004,Access to electricity (% of population),EG.ELC.ACCS.ZS,17.2363185882568
Afghanistan,AFG,2005,Access to electricity (% of population),EG.ELC.ACCS.ZS,23.0
Afghanistan,AFG,2006,Access to electricity (% of population),EG.ELC.ACCS.ZS,28.2286128997803
Afghanistan,AFG,2007,Access to electricity (% of population),EG.ELC.ACCS.ZS,33.7486801147461
Afghanistan,AFG,2008,Access to electricity (% of population),EG.ELC.ACCS.ZS,42.4
Afghanistan,AFG,2009,Access to electricity (% of population),EG.ELC.ACCS.ZS,44.8548851013184
Afghanistan,AFG,2010,Access to electricity (% of population),EG.ELC.ACCS.ZS,42.7
Afghanistan,AFG,2011,Access to electricity (% of population),EG.ELC.ACCS.ZS,43.2220189082037
Afghanistan,AFG,2012,Access to electricity (% of population),EG.ELC.ACCS.ZS,69.1
Afghanistan,AFG,2013,Access to electricity (% of population),EG.ELC.ACCS.ZS,67.2595520019531
Afghanistan,AFG,2014,Access to electricity (% of population),EG.ELC.ACCS.ZS,89.5
Afghanistan,AFG,2015,Access to electricity (% of population),EG.ELC.ACCS.ZS,71.5
Afghanistan,AFG,2016,Access to electricity (% of population),EG.ELC.ACCS.ZS,84.1371383666992
Afghanistan,AFG,2000,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,153.951
Afghanistan,AFG,2001,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,150.192
Afghanistan,AFG,2002,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,146.433
Afghanistan,AFG,2003,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,140.6256
Afghanistan,AFG,2004,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,134.8182
Afghanistan,AFG,2005,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,129.0108
Afghanistan,AFG,2006,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,123.2034
Afghanistan,AFG,2007,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,117.396
Afghanistan,AFG,2008,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,111.1414
Afghanistan,AFG,2009,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,104.8868
Afghanistan,AFG,2010,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,98.6322
Afghanistan,AFG,2011,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,92.3776
