Country,Country_Code,Year,Percentile,Indicator,Value
Afghanistan,AF,2000,p0p100,spllin,0.00030000001
Afghanistan,AF,2000,p0p50,sptinc,0.1912
Afghanistan,AF,2000,p0p50,shweal,0.0475
Afghanistan,AF,2000,pall,anweal,11183.0405
Afghanistan,AF,2000,pall,wnweal,4.755100000000001
Afghanistan,AF,2001,p0p100,spllin,0.00039999999
Afghanistan,AF,2001,p0p50,sptinc,0.1912
Afghanistan,AF,2001,p0p50,shweal,0.0475
Afghanistan,AF,2001,pall,anweal,10754.3312
Afghanistan,AF,2001,pall,wnweal,4.8886
Afghanistan,AF,2002,p0p100,spllin,0.00039999999
Afghanistan,AF,2002,p0p50,sptinc,0.1912
Afghanistan,AF,2002,p0p50,shweal,0.0475
Afghanistan,AF,2002,pall,anweal,14367.3534
Afghanistan,AF,2002,pall,wnweal,4.6581
Afghanistan,AF,2003,p0p100,spllin,0.00039999999
Afghanistan,AF,2003,p0p50,sptinc,0.1912
Afghanistan,AF,2003,p0p50,shweal,0.0475
Afghanistan,AF,2003,pall,anweal,15595.9878
Afghanistan,AF,2003,pall,wnweal,4.487200000000001
Afghanistan,AF,2004,p0p100,spllin,0.00039999999
Afghanistan,AF,2004,p0p50,sptinc,0.1912
Afghanistan,AF,2004,p0p50,shweal,0.0475
Afghanistan,AF,2004,pall,anweal,12662.4877
Afghanistan,AF,2004,pall,wnweal,3.6981
Afghanistan,AF,2005,p0p100,spllin,0.00050000002
Afghanistan,AF,2005,p0p50,sptinc,0.1912
Afghanistan,AF,2005,p0p50,shweal,0.0475
Afghanistan,AF,2005,pall,anweal,14336.2358
Afghanistan,AF,2005,pall,wnweal,4.0443
Afghanistan,AF,2006,p0p100,spllin,0.0019
Afghanistan,AF,2006,p0p50,sptinc,0.1912
Afghanistan,AF,2006,p0p50,shweal,0.0475
Afghanistan,AF,2006,pall,anweal,22309.3175
Afghanistan,AF,2006,pall,wnweal,6.0522
Afghanistan,AF,2007,p0p100,spllin,0.0035999999
Afghanistan,AF,2007,p0p50,sptinc,0.1912
Afghanistan,AF,2007,p0p50,shweal,0.0475
Afghanistan,AF,2007,pall,anweal,26653.194
Afghanistan,AF,2007,pall,wnweal,5.9695
Afghanistan,AF,2008,p0p100,spllin,0.0059000002
Afghanistan,AF,2008,p0p50,sptinc,0.1912
Afghanistan,AF,2008,p0p50,shweal,0.0475
Afghanistan,AF,2008,pall,anweal,25403.1972
Afghanistan,AF,2008,pall,wnweal,5.9935
Afghanistan,AF,2009,p0p100,spllin,0.0098000001
Afghanistan,AF,2009,p0p50,sptinc,0.1982
Afghanistan,AF,2009,p0p50,shweal,0.0478
Afghanistan,AF,2009,pall,anweal,28993.0447
