Series Name,Series Code
Access to electricity (% of population),EG.ELC.ACCS.ZS
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT
Age dependency ratio (% of working-age population),SP.POP.DPND
"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS
"Agriculture, value added (annual % growth)",NV.AGR.TOTL.KD.ZG
"Agriculture, value added (constant 2005 US$)",NV.AGR.TOTL.KD
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT
"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5
"Borrowers from commercial banks (per 1,000 adults)",FB.CBK.BRWR.P3
CPIA economic management cluster average (1=low to 6=high),IQ.CPA.ECON.XQ
CPIA financial sector rating (1=low to 6=high),IQ.CPA.FINS.XQ
CPIA gender equality rating (1=low to 6=high),IQ.CPA.GNDR.XQ
CPIA macroeconomic management rating (1=low to 6=high),IQ.CPA.MACR.XQ
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ
CPIA property rights and rule-based governance rating (1=low to 6=high),IQ.CPA.PROP.XQ
CPIA social protection rating (1=low to 6=high),IQ.CPA.PROT.XQ
Consumer price index (2010 = 100),FP.CPI.TOTL
"Contributing family workers, female (% of female employment) (modeled ILO estimate)",SL.FAM.WORK.FE.ZS
"Contributing family workers, male (% of male employment) (modeled ILO estimate)",SL.FAM.WORK.MA.ZS
"Contributing family workers, total (% of total employment) (modeled ILO estimate)",SL.FAM.WORK.ZS
Depth of credit information index (0=low to 8=high),IC.CRD.INFO.XQ
Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS
Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS
"Employers, female (% of female employment) (modeled ILO estimate)",SL.EMP.MPYR.FE.ZS
"Employers, male (% of male employment) (modeled ILO estimate)",SL.EMP.MPYR.MA.ZS
"Employers, total (% of total employment) (modeled ILO estimate)",SL.EMP.MPYR.ZS
Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS
"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",SL.AGR.EMPL.FE.ZS
"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS
Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS
"Employment in industry, female (% of female employment) (modeled ILO estimate)",SL.IND.EMPL.FE.ZS
"Employment in industry, male (% of male employment) (modeled ILO estimate)",SL.IND.EMPL.MA.ZS
Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS
"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS
"Employment in services, male (% of male employment) (modeled ILO estimate)",SL.SRV.EMPL.MA.ZS
Export value index (2000 = 100),TX.VAL.MRCH.XD.WD
Export volume index (2000 = 100),TX.QTY.MRCH.XD.WD
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS
Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN
Fixed broadband Internet subscribers (per 100 people),IT.NET.BBND.P2
"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS
"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS
Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN
GDP growth (annual %),NY.GDP.MKTP.KD.ZG
GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD
GDP per person employed (constant 1990 PPP $),SL.GDP.PCAP.EM.KD
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS
Gross capital formation (% of GDP),NE.GDI.TOTL.ZS
Gross capital formation (annual % growth),NE.GDI.TOTL.KD.ZG
ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS
Individuals using the Internet (% of population),IT.NET.USER.ZS
"Industry, value added (% of GDP)",NV.IND.TOTL.ZS
"Industry, value added (annual % growth)",NV.IND.TOTL.KD.ZG
"Industry, value added (constant 2005 US$)",NV.IND.TOTL.KD
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG
Informal payments to public officials (% of firms),IC.FRM.CORR.ZS
International migrant stock (% of population),SM.POP.TOTL.ZS
"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS
"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS
"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS
"Labor force, total",SL.TLF.TOTL.IN
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS
"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS
