country,country_code,year,indicator,value,source,last_refresh
Afghanistan,AFG,2000,gdp_per_capita,3521418059.92345,World Bank - GDP per capita,2025-10-06
Afghanistan,AFG,2000,labor_force,4685110.0,World Bank - Labor Force Total,2025-10-06
Afghanistan,AFG,2001,gdp_per_capita,2813571753.87253,World Bank - GDP per capita,2025-10-06
Afghanistan,AFG,2001,labor_force,4703525.0,World Bank - Labor Force Total,2025-10-06
Afghanistan,AFG,2002,gdp_per_capita,3825701438.99963,World Bank - GDP per capita,2025-10-06
Afghanistan,AFG,2002,labor_force,4947614.0,World Bank - Labor Force Total,2025-10-06
Afghanistan,AFG,2003,gdp_per_capita,4520946818.54581,World Bank - GDP per capita,2025-10-06
Afghanistan,AFG,2003,labor_force,5259920.0,World Bank - Labor Force Total,2025-10-06
Afghanistan,AFG,2004,gdp_per_capita,5224896718.67782,World Bank - GDP per capita,2025-10-06
Afghanistan,AFG,2004,labor_force,5459292.0,World Bank - Labor Force Total,2025-10-06
Afghanistan,AFG,2005,gdp_per_capita,6203256538.70967,World Bank - GDP per capita,2025-10-06
Afghanistan,AFG,2005,labor_force,5672338.0,World Bank - Labor Force Total,2025-10-06
Afghanistan,AFG,2006,gdp_per_capita,6971758282.29351,World Bank - GDP per capita,2025-10-06
Afghanistan,AFG,2006,labor_force,5937057.0,World Bank - Labor Force Total,2025-10-06
Afghanistan,AFG,2007,gdp_per_capita,9747886187.39393,World Bank - GDP per capita,2025-10-06
Afghanistan,AFG,2007,labor_force,6089718.0,World Bank - Labor Force Total,2025-10-06
Afghanistan,AFG,2008,gdp_per_capita,10109297047.5432,World Bank - GDP per capita,2025-10-06
Afghanistan,AFG,2008,labor_force,6273586.0,World Bank - Labor Force Total,2025-10-06
Afghanistan,AFG,2009,gdp_per_capita,12416152732.0567,World Bank - GDP per capita,2025-10-06
Afghanistan,AFG,2009,labor_force,6563261.0,World Bank - Labor Force Total,2025-10-06
Afghanistan,AFG,2010,gdp_per_capita,15856668555.8336,World Bank - GDP per capita,2025-10-06
Afghanistan,AFG,2010,internet_access,4.0,World Bank - Internet Access (% of population),2025-10-06
Afghanistan,AFG,2010,labor_force,6822959.0,World Bank - Labor Force Total,2025-10-06
Afghanistan,AFG,2011,education_index,3.62226,World Bank - Education Statistics,2025-10-06
Afghanistan,AFG,2011,gdp_per_capita,17805098206.3141,World Bank - GDP per capita,2025-10-06
Afghanistan,AFG,2011,internet_access,5.0,World Bank - Internet Access (% of population),2025-10-06
Afghanistan,AFG,2011,labor_force,7148944.0,World Bank - Labor Force Total,2025-10-06
Afghanistan,AFG,2012,gdp_per_capita,19907329777.5872,World Bank - GDP per capita,2025-10-06
Afghanistan,AFG,2012,internet_access,5.45,World Bank - Internet Access (% of population),2025-10-06
Afghanistan,AFG,2012,labor_force,7518518.0,World Bank - Labor Force Total,2025-10-06
Afghanistan,AFG,2013,gdp_per_capita,20146416757.5987,World Bank - GDP per capita,2025-10-06
Afghanistan,AFG,2013,internet_access,5.9,World Bank - Internet Access (% of population),2025-10-06
Afghanistan,AFG,2013,labor_force,7857574.0,World Bank - Labor Force Total,2025-10-06
