country,country_code,year,indicator,value,source
Afghanistan,AFG,2000,GDP (current US$),3521418059.92345,World Bank
Afghanistan,AFG,2000,GDP per capita (current US$),174.930991430166,World Bank
Afghanistan,AFG,2000,"Labor force, total",4685110.0,World Bank
Afghanistan,AFG,2000,"Population, total",20130327.0,World Bank
Afghanistan,AFG,2001,GDP (current US$),2813571753.87253,World Bank
Afghanistan,AFG,2001,GDP per capita (current US$),138.706821676113,World Bank
Afghanistan,AFG,2001,Individuals using the Internet (% of population),0.00472257,World Bank
Afghanistan,AFG,2001,"Labor force, total",4703525.0,World Bank
Afghanistan,AFG,2001,"Population, total",20284307.0,World Bank
Afghanistan,AFG,2002,GDP (current US$),3825701438.99963,World Bank
Afghanistan,AFG,2002,GDP per capita (current US$),178.954088379235,World Bank
Afghanistan,AFG,2002,Individuals using the Internet (% of population),0.0045614,World Bank
Afghanistan,AFG,2002,"Labor force, total",4947614.0,World Bank
Afghanistan,AFG,2002,"Population, total",21378117.0,World Bank
Afghanistan,AFG,2003,GDP (current US$),4520946818.54581,World Bank
Afghanistan,AFG,2003,GDP per capita (current US$),198.871115728727,World Bank
Afghanistan,AFG,2003,Individuals using the Internet (% of population),0.0878913,World Bank
Afghanistan,AFG,2003,"Labor force, total",5259920.0,World Bank
Afghanistan,AFG,2003,"Population, total",22733049.0,World Bank
Afghanistan,AFG,2004,GDP (current US$),5224896718.67782,World Bank
Afghanistan,AFG,2004,GDP per capita (current US$),221.763653873013,World Bank
Afghanistan,AFG,2004,Individuals using the Internet (% of population),0.105809,World Bank
Afghanistan,AFG,2004,"Labor force, total",5459292.0,World Bank
Afghanistan,AFG,2004,"Population, total",23560654.0,World Bank
Afghanistan,AFG,2005,GDP (current US$),6203256538.70967,World Bank
Afghanistan,AFG,2005,GDP per capita (current US$),254.184249149336,World Bank
Afghanistan,AFG,2005,Individuals using the Internet (% of population),1.22415,World Bank
Afghanistan,AFG,2005,"Inflation, consumer prices (annual %)",12.6862687216715,World Bank
Afghanistan,AFG,2005,"Labor force, total",5672338.0,World Bank
Afghanistan,AFG,2005,"Population, total",24404567.0,World Bank
Afghanistan,AFG,2006,GDP (current US$),6971758282.29351,World Bank
Afghanistan,AFG,2006,GDP per capita (current US$),274.218553561575,World Bank
Afghanistan,AFG,2006,Individuals using the Internet (% of population),2.10712,World Bank
Afghanistan,AFG,2006,"Inflation, consumer prices (annual %)",6.78459655001655,World Bank
Afghanistan,AFG,2006,"Labor force, total",5937057.0,World Bank
Afghanistan,AFG,2006,"Population, total",25424094.0,World Bank
Afghanistan,AFG,2007,GDP (current US$),9747886187.39393,World Bank
Afghanistan,AFG,2007,GDP per capita (current US$),376.223152003876,World Bank
Afghanistan,AFG,2007,Individuals using the Internet (% of population),1.9,World Bank
Afghanistan,AFG,2007,"Inflation, consumer prices (annual %)",8.68057078513406,World Bank
Afghanistan,AFG,2007,"Labor force, total",6089718.0,World Bank
Afghanistan,AFG,2007,"Population, total",25909852.0,World Bank
Afghanistan,AFG,2007,Poverty headcount ratio at national poverty lines (% of population),33.7,World Bank
Afghanistan,AFG,2008,GDP (current US$),10109297047.5432,World Bank
Afghanistan,AFG,2008,GDP per capita (current US$),381.73323802844,World Bank
Afghanistan,AFG,2008,Individuals using the Internet (% of population),1.84,World Bank
Afghanistan,AFG,2008,"Inflation, consumer prices (annual %)",26.4186641547444,World Bank
Afghanistan,AFG,2008,"Labor force, total",6273586.0,World Bank
Afghanistan,AFG,2008,"Population, total",26482622.0,World Bank
Afghanistan,AFG,2008,"Unemployment, total (% of total labor force) (national estimate)",2.494,World Bank
Afghanistan,AFG,2009,GDP (current US$),12416152732.0567,World Bank
Afghanistan,AFG,2009,GDP per capita (current US$),452.053705477043,World Bank
Afghanistan,AFG,2009,Individuals using the Internet (% of population),3.55,World Bank
Afghanistan,AFG,2009,"Inflation, consumer prices (annual %)",-6.81116108898996,World Bank
Afghanistan,AFG,2009,"Labor force, total",6563261.0,World Bank
Afghanistan,AFG,2009,"Population, total",27466101.0,World Bank
Afghanistan,AFG,2010,GDP (current US$),15856668555.8336,World Bank
Afghanistan,AFG,2010,GDP per capita (current US$),560.621505463146,World Bank
Afghanistan,AFG,2010,Individuals using the Internet (% of population),4.0,World Bank
Afghanistan,AFG,2010,"Inflation, consumer prices (annual %)",2.17853752389419,World Bank
Afghanistan,AFG,2010,"Labor force, total",6822959.0,World Bank
Afghanistan,AFG,2010,"Population, total",28284089.0,World Bank
Afghanistan,AFG,2011,"Completion rate, primary education (%)",40.72568893432617,UNESCO
Afghanistan,AFG,2011,GDP (current US$),17805098206.3141,World Bank
Afghanistan,AFG,2011,GDP per capita (current US$),606.694676337726,World Bank
Afghanistan,AFG,2011,Individuals using the Internet (% of population),5.0,World Bank
Afghanistan,AFG,2011,"Inflation, consumer prices (annual %)",11.8041858089129,World Bank
Afghanistan,AFG,2011,"Labor force, total",7148944.0,World Bank
Afghanistan,AFG,2011,"Population, total",29347708.0,World Bank
Afghanistan,AFG,2011,Poverty headcount ratio at national poverty lines (% of population),38.3,World Bank
Afghanistan,AFG,2012,GDP (current US$),19907329777.5872,World Bank
Afghanistan,AFG,2012,GDP per capita (current US$),651.417134470046,World Bank
Afghanistan,AFG,2012,Individuals using the Internet (% of population),5.45455,World Bank
Afghanistan,AFG,2012,"Inflation, consumer prices (annual %)",6.44121280934117,World Bank
Afghanistan,AFG,2012,"Labor force, total",7518518.0,World Bank
Afghanistan,AFG,2012,"Population, total",30560034.0,World Bank
Afghanistan,AFG,2012,"Unemployment, total (% of total labor force) (national estimate)",1.692,World Bank
Afghanistan,AFG,2013,GDP (current US$),20146416757.5987,World Bank
Afghanistan,AFG,2013,GDP per capita (current US$),637.087099117099,World Bank
Afghanistan,AFG,2013,Individuals using the Internet (% of population),5.9,World Bank
Afghanistan,AFG,2013,"Inflation, consumer prices (annual %)",7.38577178397855,World Bank
Afghanistan,AFG,2013,"Labor force, total",7857574.0,World Bank
