Country Name,Country Code,Series,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025],2026 [YR2026],2027 [YR2027],2028 [YR2028],2029 [YR2029],2030 [YR2030],2031 [YR2031],2032 [YR2032],2033 [YR2033],2034 [YR2034],2035 [YR2035],2036 [YR2036],2037 [YR2037],2038 [YR2038],2039 [YR2039],2040 [YR2040],2041 [YR2041],2042 [YR2042],2043 [YR2043],2044 [YR2044],2045 [YR2045],2046 [YR2046],2047 [YR2047],2048 [YR2048],2049 [YR2049],2050 [YR2050],2055 [YR2055],2060 [YR2060],2065 [YR2065],2070 [YR2070],2075 [YR2075],2080 [YR2080],2085 [YR2085],2090 [YR2090],2095 [YR2095],2100 [YR2100]
Afghanistan,AFG,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,1.16036,1.11718,1.42788,..,1.30332,..,..,..,1.73981,1.84093,1.90917,1.72998,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.47945,3.46201,2.6042,3.45446,3.69522,3.2558,4.22836,4.05887,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,..,..,..,..,..,..,..,..,..,..,8.9224,8.94142,9.18603,9.63943,9.73067,10.45442,11.06957,11.80538,12.63012,..,16.28938,18.03261,11.49034,..,14.01731,15.47144,18.04252,..,21.54541,20.73737,20.38771,19.21422,..,14.89356,26.49335,28.6594,..,..,..,3.84434,0,0,42.82885,66.69796,62.591,71.81207,77.6684,74.82184,77.98242,76.51035,80.63546,80.93683,86.32884,85.90214,86.7296,83.50442,82.55836,82.08028,82.85025,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,..,..,..,..,..,..,..,..,..,..,0.16919,0.16453,0.16825,0.17596,0.17467,0.18308,0.18906,0.19827,0.20467,..,0.22998,0.23702,0.50285,..,0.47464,0.48543,0.54328,..,0.50193,0.52874,0.5485,0.54788,..,0.35307,0.5058,0.51505,..,..,..,0.0849,0,0,0.45693,0.5622,0.43282,0.58334,0.62357,0.61379,0.63642,0.6575,0.67981,0.71258,0.72026,0.70286,0.69825,0.68081,0.67937,0.67617,0.66691,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1445969,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1979198,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bangladesh,BGD,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.13093,0.9376,1.0715,1.01164,1.03267,1.22303,1.27118,1.34349,1.51364,..,..,1.51912,1.42566,1.63177,1.69262,..,..,..,1.95247,..,2.13282,2.12508,2.17193,2.01715,2.06939,1.94014,..,2.13129,2.20222,2.05457,1.93942,..,2.1327,2.1755,1.96616,..,..,1.53554,..,..,1.32632,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bangladesh,BGD,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,..,..,..,..,..,..,..,..,..,..,36.77577,33.82008,45.60529,54.23527,50.67871,55.55429,56.94861,56.91495,55.66431,54.69713,53.76432,57.52066,59.16526,54.85811,58.78841,56.97407,56.60137,55.75403,71.63406,71.91479,76.59801,..,..,..,..,..,..,..,..,..,..,..,..,..,..,103.95454,105.25839,105.24104,102.59263,105.38209,109.25345,..,..,..,..,..,..,119.05796,120.75175,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bangladesh,BGD,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,..,..,..,..,..,..,..,..,..,..,0.49026,0.48609,0.55147,0.55177,0.51497,0.53723,0.54343,0.60843,0.60662,0.6052,0.60471,0.69485,0.70741,0.6054,0.69685,0.69203,0.69104,0.69185,0.80566,0.81181,0.84442,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.0455,1.0559,1.07234,1.0619,1.04786,1.06251,..,..,..,..,..,..,1.07176,1.07471,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bangladesh,BGD,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,..,..,..,..,..,..,..,..,..,..,4542612,..,..,2841144,..,..,2475595,2919723,3092616,..,..,3703539,..,4151136,4412413,4735366,4972135,5219535,3864086,3942832,3573153,..,..,..,..,..,..,..,..,..,..,..,..,..,..,439726,521821,..,687353,660951,803773,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
India,IND,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.36136,3.57256,4.41539,4.32479,..,..,3.61341,3.35254,3.18875,3.14285,..,..,3.27825,3.37769,3.79618,3.8675,3.84467,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
India,IND,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,..,..,..,..,..,..,..,..,..,..,..,60.93055,61.65603,64.6029,64.18544,64.99838,65.1925,67.39325,63.71403,64.30547,65.61253,67.28797,67.80452,69.8634,71.38266,72.23265,75.38278,74.42185,75.91306,77.50959,77.74122,78.98611,79.93688,83.30173,84.86303,84.71991,85.19561,85.34358,84.15724,84.89983,86.76234,87.15018,88.68851,101.92667,..,..,..,109.61158,111.85216,111.28928,110.69512,110.31036,111.97443,117.12038,114.01876,114.78057,123.55514,121.12737,..,97.81434,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
India,IND,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,..,..,..,..,..,..,..,..,..,..,..,0.64253,0.64496,0.65334,0.65409,0.65614,0.66122,0.66342,0.65216,0.66486,0.66859,0.67563,0.67563,0.68411,0.68808,0.70442,0.72702,0.74154,0.74832,0.73394,0.74746,0.77237,0.7844,0.81624,0.82579,0.82758,0.83774,0.8461,0.8513,0.85348,0.85883,0.8684,0.88545,0.98615,..,..,..,0.993,1.01991,1.03223,1.02797,1.03525,1.03883,1.11811,1.11393,1.11618,1.16104,1.14725,..,1.01958,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
India,IND,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,..,..,..,..,..,..,..,..,..,..,..,28305499,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,24350653,..,..,..,..,..,..,..,..,..,19457444,19595255,19909725,14109172,..,..,..,4019535,3974854,5641942,4922041,5445603,3838679,2887748,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Pakistan,PAK,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,1.65422,1.56882,1.83042,1.88065,1.98008,2.23794,2.14983,2.20418,2.19807,2.13095,1.97245,2.01367,1.99577,2.06985,2.43543,2.67813,2.97746,..,2.36382,2.51681,2.56676,2.54968,2.38644,2.58931,2.79531,2.81057,3.0223,..,2.61149,1.83782,..,..,..,1.76759,2.04972,2.39551,2.63527,2.74623,2.59078,2.28687,2.22175,2.13628,2.49344,2.46593,2.65002,3.00292,2.89952,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Pakistan,PAK,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,..,..,..,..,..,..,..,..,..,..,..,26.93189,27.2975,30.0251,31.46306,31.97473,33.67024,33.5872,32.84909,32.58672,32.62164,33.75872,34.79239,35.68336,35.90174,37.38382,38.0559,39.26491,40.01456,39.85985,40.4436,..,..,..,..,..,..,..,..,..,57.06668,57.01294,57.13639,60.91778,64.91,70.34328,68.56943,75.29171,75.90518,77.07291,77.63804,74.51299,74.64866,73.89344,77.39932,78.25324,83.88247,83.70682,86.11134,87.8961,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Pakistan,PAK,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,..,..,..,..,..,..,..,..,..,..,..,0.38258,0.39159,0.41901,0.42007,0.42553,0.44407,0.42744,0.49597,0.49357,0.50257,0.51208,0.52274,0.51103,0.51317,0.52142,0.53003,0.52507,0.53562,0.5286,0.53352,..,..,..,..,..,..,..,..,..,0.67972,0.68023,0.68116,0.72661,0.73291,0.76874,0.79134,0.83322,0.84302,0.85446,0.85318,0.85951,0.87165,0.8697,0.8535,0.85593,0.85398,0.86301,0.84441,0.85915,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
